2026-03-14 22:18:07 | InfrastructureDiscovery | INFO | === InfraEye Infrastructure Discovery Started ===
2026-03-14 22:18:12 | InfrastructureDiscovery | INFO | Module 'ImportExcel' is available.
2026-03-14 22:18:12 | InfrastructureDiscovery | INFO | Module 'PSWriteHTML' is available.
2026-03-14 22:18:12 | InfrastructureDiscovery | INFO | Collecting local device profile...
2026-03-14 22:18:12 | InfrastructureDiscovery | INFO | Detecting local network ranges...
2026-03-14 22:18:12 | InfrastructureDiscovery | INFO | Scanning network: 10.57.26.0/24
2026-03-14 22:18:12 | InfrastructureDiscovery | INFO | Ping sweeping network: 10.57.26.0/24
2026-03-14 22:18:15 | InfrastructureDiscovery | INFO | Ping sweep complete. Found 2 live hosts in 10.57.26.0/24
2026-03-14 22:18:15 | InfrastructureDiscovery | INFO | Reading ARP table...
2026-03-14 22:18:15 | InfrastructureDiscovery | INFO | ARP table read. Found 8 entries.
2026-03-14 22:18:31 | InfrastructureDiscovery | INFO | Performing DHCP analysis for 10.57.26.0/24...
2026-03-14 22:18:31 | InfrastructureDiscovery | INFO | Performing subnet analysis for 10.57.26.0/24...
2026-03-14 22:18:31 | InfrastructureDiscovery | INFO | Detecting local server roles...
2026-03-14 22:18:31 | InfrastructureDiscovery | INFO | Checking for duplicate IP addresses...
2026-03-14 22:18:31 | InfrastructureDiscovery | INFO | Exporting devices to Excel: D:\VS_CODE\InfraEye-IT-Diagnostics\InfrastructureDiscovery\Reports\NetworkDevices_20260314_221807.xlsx
2026-03-14 22:18:33 | InfrastructureDiscovery | SUCCESS | Excel export completed: D:\VS_CODE\InfraEye-IT-Diagnostics\InfrastructureDiscovery\Reports\NetworkDevices_20260314_221807.xlsx
2026-03-14 22:18:33 | InfrastructureDiscovery | INFO | Generating HTML report...
2026-03-14 22:18:33 | InfrastructureDiscovery | SUCCESS | Report saved: D:\VS_CODE\InfraEye-IT-Diagnostics\InfrastructureDiscovery\Reports\InfrastructureDiscovery_20260314_221807.html
2026-03-14 22:18:33 | InfrastructureDiscovery | SUCCESS | Total devices discovered: 2
2026-03-14 22:18:33 | InfrastructureDiscovery | SUCCESS | === InfraEye Infrastructure Discovery Completed ===
